Epsilon, min_samples, Number of Clusters, Number of Anomalies, Percentage of Anomalies, Silhouette Score, DBI Score
      1,           5,                339,                2311,    47.94605809128631   , -0.12755494     , 1.4608889628210877
      5,           5,                  3,                   2,     0.04149377593360996, -0.14784181     , 0.7724947527934956
      5,          10,                  3,                   2,     0.04149377593360996, -0.14784181     , 0.7724947527934956
      5,          15,                  2,                  13,     0.2697095435684647 , 0.16412307      , 1.0786395177231778
      5,          20,                  2,                  19,     0.3941908713692946 , 0.17766856      , 2.467748641528268
     10,           5,                  2,                   0,     0.0                , 0.3879364       , 0.6917425298915621
     10,          10,                  2,                   0,     0.0                , 0.3879364       , 0.6917425298915621
     10,          15,                  2,                   0,     0.0                , 0.3879364       , 0.6517210298915875
     10,          20,                  2,                   0,     0.0                , 0.3879364       , 0.6517210298915875
     15,           5,                  2,                   0,     0.0                , 0.3879364       , 0.6517210298915875
     15,          10,                  2,                   0,     0.0                , 0.3879364       , 0.6517210298915875
     15,          15,                  2,                   0,     0.0                , 0.3879364       , 0.6517210298915875
     15,          20,                  2,                   0,     0.0                , 0.3879364       , 0.6517210298915875
     20,           5,                  2,                   0,     0.0                , 0.3879364       , 0.6517210298915875
     20,          10,                  2,                   0,     0.0                , 0.3879364       , 0.6517210298915875
     20,          15,                  2,                   0,     0.0                , 0.3879364       , 0.6517210298915875
     20,          20,                  2,                   0,     0.0                , 0.3879364       , 0.6517210298915875
